,name,address,brand,is_self,gas,diesel,washcar,lpg,fixcar,convenience,hour24,gu,lat,lng
171,동일석유(주) 창동주유소,서울 도봉구 도봉로 434 (창동),SK에너지,Y,"1,567","1,505",Y,N,Y,N,N,도봉구,37.6445794,127.0327745
172,현대오일뱅크㈜직영 도봉현대셀프주유소,서울 도봉구 도봉로 941 (도봉동),현대오일뱅크,Y,"1,569","1,519",Y,N,N,Y,N,도봉구,37.6883354,127.0453133
173,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),S-OIL,Y,"1,575","1,515",Y,N,Y,N,N,도봉구,37.6614812,127.0475388
174,노원교주유소,서울 도봉구 마들로 776 (도봉동),현대오일뱅크,Y,"1,595","1,515",Y,N,N,N,N,도봉구,37.678829,127.0497045
175,오복주유소,서울 도봉구 방학로 43,S-OIL,Y,"1,598","1,567",Y,N,N,N,Y,도봉구,37.6622407,127.0474237
176,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),GS칼텍스,Y,"1,619","1,525",Y,N,Y,N,Y,도봉구,37.6413062,127.0401911
177,현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,현대오일뱅크,N,"1,637","1,578",Y,N,N,N,N,도봉구,37.6623342,127.0354151
178,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),현대오일뱅크,Y,"1,638","1,578",Y,N,N,N,N,도봉구,37.6490417,127.0267991
179,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,Y,"1,530","1,490",N,N,N,N,Y,동대문구,37.59751120000001,127.068033
180,삼영주유소,서울 동대문구 답십리로 258 (장안동),SK에너지,N,"1,545","1,525",Y,N,N,N,N,동대문구,37.57224679999999,127.06882
181,재정제2주유소,서울 동대문구 사가정로 90 (전농동),현대오일뱅크,Y,"1,545","1,524",Y,N,N,N,N,동대문구,37.575785,127.0556357
182,풍한주유소,서울 동대문구 안암로 168,SK에너지,N,"1,545","1,515",Y,N,N,N,Y,동대문구,37.5891723,127.0359785
183,재정주유소,서울 동대문구 전농로 121 (전농동),현대오일뱅크,Y,"1,545","1,524",Y,N,N,N,N,동대문구,37.5756532,127.0574125
184,열린주유소,서울 동대문구 한천로 263 (휘경동),S-OIL,N,"1,557","1,490",N,N,N,N,N,동대문구,37.5843348,127.0676289
